Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,19.280001,19.280001,19.280001,19.280001,9.91233,0
2007-09-18,19.799999,19.799999,19.799999,19.799999,10.179675,0
2007-09-19,19.879999,19.879999,19.879999,19.879999,10.220803,0
2007-09-20,19.73,19.73,19.73,19.73,10.143687,0
2007-09-21,19.77,19.77,19.77,19.77,10.164251,0
2007-09-24,19.860001,19.860001,19.860001,19.860001,10.210522,0
2007-09-25,19.799999,19.799999,19.799999,19.799999,10.179675,0
2007-09-26,19.860001,19.860001,19.860001,19.860001,10.210522,0
2007-09-27,20,20,20,20,10.282498,0
2007-09-28,19.99,19.99,19.99,19.99,10.277358,0
2007-10-01,20.23,20.23,20.23,20.23,10.400749,0
2007-10-02,20.370001,20.370001,20.370001,20.370001,10.472727,0
2007-10-03,20.4,20.4,20.4,20.4,10.488149,0
2007-10-04,20.43,20.43,20.43,20.43,10.503575,0
2007-10-05,20.629999,20.629999,20.629999,20.629999,10.606398,0
2007-10-08,20.459999,20.459999,20.459999,20.459999,10.518996,0
2007-10-09,20.790001,20.790001,20.790001,20.790001,10.688662,0
2007-10-10,20.82,20.82,20.82,20.82,10.704082,0
2007-10-11,20.76,20.76,20.76,20.76,10.673233,0
2007-10-12,20.77,20.77,20.77,20.77,10.678376,0
2007-10-15,20.67,20.67,20.67,20.67,10.626964,0
2007-10-16,20.51,20.51,20.51,20.51,10.544703,0
2007-10-17,20.49,20.49,20.49,20.49,10.534421,0
2007-10-18,20.4,20.4,20.4,20.4,10.488149,0
2007-10-19,19.9,19.9,19.9,19.9,10.231087,0
